id,bsf_scheme_id,bsf_business_type_id
749,112,5
750,123,6
751,123,1
752,123,2
753,123,3
754,123,5
755,119,6
756,119,1
757,119,2
758,119,3
759,119,4
760,115,1
761,115,2
762,115,3
763,116,1
764,116,2
765,116,3
766,107,1
767,107,2
768,107,3
769,117,6
770,117,1
771,117,2
772,117,3
773,117,4
774,109,6
775,109,1
776,109,2
777,109,3
778,118,1
779,118,2
780,118,3
781,113,4
782,113,5
783,108,6
784,108,1
785,108,2
786,108,3
787,108,4
788,122,1
789,122,2
790,122,3
791,110,1
792,110,2
793,110,3
794,110,4
795,125,4
796,125,5
797,121,1
798,121,2
799,121,3
800,124,6
801,124,4
802,124,5
803,128,1
804,128,2
805,128,3
806,128,4
807,126,1
808,126,2
809,126,3
810,126,4
811,106,6
812,106,1
813,106,3
814,114,6
815,152,1
816,152,2
817,152,3
818,151,6
819,150,1
820,150,2
821,150,3
822,150,4
823,149,1
824,149,2
825,149,3
826,149,4
827,131,6
828,131,1
829,131,2
830,131,3
831,131,4
832,138,1
833,138,2
834,138,3
835,137,1
836,137,2
837,137,3
838,145,4
839,145,5
840,147,1
841,147,2
842,147,3
843,147,4
844,132,4
845,132,5
846,130,4
847,130,5
848,134,1
849,134,2
850,134,3
851,134,4
852,141,1
853,141,2
854,141,3
855,136,1
856,136,2
857,136,3
858,139,1
859,139,2
860,139,3
861,144,1
862,144,2
863,144,3
864,144,4
865,143,1
866,143,2
867,143,3
868,143,4
869,146,6
870,140,1
871,140,2
872,140,3
873,154,1
874,153,1
875,153,2
876,153,3
877,153,4
878,133,4
879,133,5
880,135,1
881,135,2
882,135,3
883,135,4
884,142,1
885,142,2
886,142,3
887,148,6
888,152,1
889,152,2
890,152,3
891,151,6
892,150,1
893,150,2
894,150,3
895,150,4
896,149,1
897,149,2
898,149,3
899,149,4
900,131,6
901,131,1
902,131,2
903,131,3
904,131,4
905,138,1
906,138,2
907,138,3
908,137,1
909,137,2
910,137,3
911,145,4
912,145,5
913,147,1
914,147,2
915,147,3
916,147,4
917,132,4
918,132,5
919,130,4
920,130,5
921,134,1
922,134,2
923,134,3
924,134,4
925,141,1
926,141,2
927,141,3
928,136,1
929,136,2
930,136,3
931,139,1
932,139,2
933,139,3
934,144,1
935,144,2
936,144,3
937,144,4
938,143,1
939,143,2
940,143,3
941,143,4
942,146,6
943,140,1
944,140,2
945,140,3
946,154,1
947,153,1
948,153,2
949,153,3
950,153,4
951,133,4
952,133,5
953,135,1
954,135,2
955,135,3
956,135,4
957,142,1
958,142,2
959,142,3
960,148,6
961,173,1
962,173,2
963,173,3
964,175,6
965,160,1
966,160,2
967,160,3
968,167,1
969,167,2
970,167,3
971,170,1
972,170,2
973,170,3
974,170,4
975,170,5
976,155,1
977,155,2
978,155,3
979,161,1
980,161,2
981,161,3
982,165,1
983,165,2
984,165,3
985,164,1
986,164,2
987,164,3
988,162,1
989,162,2
990,162,3
991,166,1
992,166,2
993,166,3
994,163,1
995,163,2
996,163,3
997,174,1
998,174,2
999,174,3
1000,174,4
1001,174,5
1002,177,6
1003,177,1
1004,177,2
1005,177,3
1006,177,4
1007,154,2
1008,154,3
1009,154,4
1010,172,6
1011,172,1
1012,172,2
1013,172,3
1014,159,1
1015,159,2
1016,159,3
1017,158,1
1018,158,2
1019,158,3
1020,158,4
1021,158,5
1022,157,1
1023,157,2
1024,157,3
1025,157,4
1026,156,1
1027,156,2
1028,156,3
1029,156,4
1030,169,1
1031,169,2
1032,169,3
1033,169,4
1034,176,1
1035,176,2
1036,176,3
1037,176,4
1038,168,1
1039,168,2
1040,168,3
1041,173,1
1042,173,2
1043,173,3
1044,175,6
1045,160,1
1046,160,2
1047,160,3
1048,167,1
1049,167,2
1050,167,3
1051,170,1
1052,170,2
1053,170,3
1054,170,4
1055,170,5
1056,155,1
1057,155,2
1058,155,3
1059,161,1
1060,161,2
1061,161,3
1062,165,1
1063,165,2
1064,165,3
1065,164,1
1066,164,2
1067,164,3
1068,162,1
1069,162,2
1070,162,3
1071,166,1
1072,166,2
1073,166,3
1074,163,1
1075,163,2
1076,163,3
1077,174,1
1078,174,2
1079,174,3
1080,174,4
1081,174,5
1082,177,6
1083,177,1
1084,177,2
1085,177,3
1086,177,4
1087,154,2
1088,154,3
1089,154,4
1090,172,6
1091,172,1
1092,172,2
1093,172,3
1094,159,1
1095,159,2
1096,159,3
1097,158,1
1098,158,2
1099,158,3
1100,158,4
1101,158,5
1102,157,1
1103,157,2
1104,157,3
1105,157,4
1106,156,1
1107,156,2
1108,156,3
1109,156,4
1110,169,1
1111,169,2
1112,169,3
1113,169,4
1114,176,1
1115,176,2
1116,176,3
1117,176,4
1118,168,1
1119,168,2
1120,168,3
1121,184,6
1122,184,1
1123,184,2
1124,184,3
1125,188,1
1126,188,2
1127,188,3
1128,188,4
1129,178,6
1130,178,1
1131,178,2
1132,178,3
1133,178,4
1134,197,1
1135,197,2
1136,197,3
1137,197,4
1138,201,1
1139,201,3
1140,201,4
1141,179,6
1142,179,1
1143,179,2
1144,179,3
1145,179,4
1146,200,6
1147,200,1
1148,200,2
1149,200,3
1150,183,6
1151,199,1
1152,199,2
1153,199,3
1154,186,6
1155,186,1
1156,186,2
1157,186,3
1158,186,4
1159,189,6
1160,189,1
1161,189,2
1162,189,3
1163,189,4
1164,196,1
